VEHFN,HLLUO,GAVWJ,ZEBCS,RPDSS,MPDSV,HIATF,OIFNR,WYBCJ,QPLNO,UZWIX,FSDML,XPUCO,WYDHV,OIACP,PSZAL,NQLQX,ZXYYW,ADRBO,QYZVS
3,YNTcGkn,5.5934,3,1,4,GpQg,8.69053,WCNfz,1,3,3,KoyWA,1,2,2.54,1,2.44,BbfDkUYEtT,2
wNiM,4.739,YJHkEQIvh,Tvoy,1.26614,5,TpLg,4,DGSvX,1,EPYIuHOuI,2,3.87655,2.7864,hHqX,2,1.8889,2.22,9,1.66972
1,5.597,PjBzdNSFZ,3.71,1.39471,1,4.0,oTFoIJTUdi,vxmiu,vAn,5,2.33953,1.65746,4,VQVv,2.01,gfy,exc,QTTMEAhVqJ,SWE
2,4.896,AXejqQaky,JWzt,1,fvDwyoeB,QQib,9.39182,NhEMO,2.74,PPSSmRLnS,2,zCCSJ,4,3.3874,3.4,RFn,2,QzPJLlgAvq,2
1.32104,2,mWLqqWmLK,KOJR,1,UoPlpcew,PbCS,6,1.345,Hsq,8.34,2,3.93971,4,JZdr,1,fUD,2.62,9.88144,Ntz
XeVA,6,WCVIwkouk,KZbf,TO,7.6341,2.82,7,4,dHV,6,GzGF,svqDM,3.68094,1,1.92,1,EIO,5.42208,1
1.68503,2,4.4525,PzuH,1.06639,qJsrOUuj,1.55,8,2.051,fSW,4.04,gVxE,4,1,1,vazp,2.571,rIC,8,2
2.97735,1,chhpILdYS,2,1,JGwVrqwe,2.15,3,2,ewZ,3.78,3.02898,1,3,1.2272,3,1.4884,IrD,9,1.46759
yKTv,HNCfvJM,3,2.711,wN,xwVuMhrA,1,1,4,Zrs,VzaZSoNxD,1,2,2.46028,2.8776,2.32,1,2.06,9,1.75152
2.35864,YsUUwWs,5.4165,uipy,eb,POaFGUyt,1.52,2.40877,djIsI,1.75,cPuFIkLKc,3,4.12734,4,3.0255,1,LRE,2,gMOtIkhbFT,Qoh
vLra,eDwKosM,8,3,1.91543,5,3.6,8,2.092,2,vIHpHhXIu,3.35127,IgXeP,4,pVTH,3,2.759,2.57,1,2.95693
2.84172,1.712,QKMbIJDGu,1.851,1,7,VJnZ,7.34116,moKDU,EnU,4.49,3,1.92304,RDbeZ,1,3,2.0024,2.97,8,2.73686
RDrB,1,2.1307,FtCm,ff,7.3784,3.43,8,2,2,tVcxltILj,3,1.30043,2.11112,jeTG,1.35,1.8739,2.39,7.69232,2
ntBM,kKhmBch,3,2.014,1.82715,7.8154,1,9,2,1,RXGBIlXxB,3.09787,4.05504,4.07705,1,xglZ,1,2,ZRuTTUeTXL,JOd
1.45738,wFSgRtn,1.1783,mNUi,1.70613,1.4193,dEFY,9.73712,2.778,iqj,2.32,zuIk,4,3,1,2,2.3245,2.79,WBkgRdGqdn,1
1.52847,4,ZQzaNVZpD,1,1,2.6973,1,avXjQxFxzO,SNvJM,Lmn,6.21,3.87142,2.86433,4,3,evCy,2.1683,DiS,7.87825,2
mkzO,PIZBYka,7.4348,2.474,1,2.5973,3,WyLxUzYyia,2.31,2,8,FZhJ,XBnQp,1,2,2.7,1.0802,2.46,2,FSL
1.05737,1,3.1313,1,RB,7,mwni,SHdDMLHKos,1,1.96,QgDLbnuDM,1.65585,2,1.09896,PjFj,GxkY,2.9422,Ifu,1,eSo
2.62303,1,1,1.563,1,1,1.84,ocPBpSUnSk,1,2.24,KxXrNKVGG,3.90928,1,djYhY,1,2.06,Vtv,yhO,nPOauTUbfv,oVV
JkQW,bmmBxEG,MuPsuZlUv,2.484,dC,3,UdEU,5,4,DAe,6,1,2.78153,1.26385,slHZ,1,2,1.93,9.38385,2
